Variable,Etiqueta,Codigo,Valor
mupio_ocu,Municipio de ocurrencia,1104,San Martín Zapotitlán
mupio_ocu,Municipio de ocurrencia,1105,San Felipe Retalhuleu
mupio_ocu,Municipio de ocurrencia,1106,San Andrés Villa Seca
mupio_ocu,Municipio de ocurrencia,1107,Champerico
mupio_ocu,Municipio de ocurrencia,1108,Nuevo San Carlos
mupio_ocu,Municipio de ocurrencia,1109,El Asintal
mupio_ocu,Municipio de ocurrencia,1201,San Marcos
mupio_ocu,Municipio de ocurrencia,1202,San Pedro Sacatepéquez
mupio_ocu,Municipio de ocurrencia,1203,San Antonio Sacatepéquez
mupio_ocu,Municipio de ocurrencia,1204,Comitancillo
mupio_ocu,Municipio de ocurrencia,1205,San Miguel Ixtahuacán
mupio_ocu,Municipio de ocurrencia,1206,Concepción Tutuapa
mupio_ocu,Municipio de ocurrencia,1207,Tacaná 
mupio_ocu,Municipio de ocurrencia,1208,Sibinal
mupio_ocu,Municipio de ocurrencia,1209,Tajumulco 
mupio_ocu,Municipio de ocurrencia,1210,Tejutla
mupio_ocu,Municipio de ocurrencia,1211,San Rafael Pie de la Cuesta
mupio_ocu,Municipio de ocurrencia,1212,Nuevo Progreso
mupio_ocu,Municipio de ocurrencia,1213,El Tumbador
mupio_ocu,Municipio de ocurrencia,1214,El Rodeo
mupio_ocu,Municipio de ocurrencia,1215,Malacatán
mupio_ocu,Municipio de ocurrencia,1216,Catarina
mupio_ocu,Municipio de ocurrencia,1217,Ayutla 
mupio_ocu,Municipio de ocurrencia,1218,Ocós
mupio_ocu,Municipio de ocurrencia,1219,San Pablo
mupio_ocu,Municipio de ocurrencia,1220,El Quetzal 
mupio_ocu,Municipio de ocurrencia,1221,La Reforma
mupio_ocu,Municipio de ocurrencia,1222,Pajapita
mupio_ocu,Municipio de ocurrencia,1223,Ixchiguán
mupio_ocu,Municipio de ocurrencia,1224,San José Ojetenam
mupio_ocu,Municipio de ocurrencia,1225,San Cristóbal Cucho
mupio_ocu,Municipio de ocurrencia,1226,Sipacapa
mupio_ocu,Municipio de ocurrencia,1227,Esquipulas Palo Gordo
mupio_ocu,Municipio de ocurrencia,1228,Río Blanco
mupio_ocu,Municipio de ocurrencia,1229,San Lorenzo
mupio_ocu,Municipio de ocurrencia,1230,La Blanca
mupio_ocu,Municipio de ocurrencia,1301,Huehuetenango
mupio_ocu,Municipio de ocurrencia,1302,Chiantla
mupio_ocu,Municipio de ocurrencia,1303,Malacatancito
mupio_ocu,Municipio de ocurrencia,1304,Cuilco
mupio_ocu,Municipio de ocurrencia,1305,Nentón
mupio_ocu,Municipio de ocurrencia,1306,San Pedro Necta
mupio_ocu,Municipio de ocurrencia,1307,Jacaltenango
mupio_ocu,Municipio de ocurrencia,1308,San Pedro Soloma
mupio_ocu,Municipio de ocurrencia,1309,San Ildefonso Ixtahuacán
mupio_ocu,Municipio de ocurrencia,1310,Santa Bárbara
mupio_ocu,Municipio de ocurrencia,1311,La Libertad
mupio_ocu,Municipio de ocurrencia,1312,La Democracia
mupio_ocu,Municipio de ocurrencia,1313,San Miguel Acatán
mupio_ocu,Municipio de ocurrencia,1314,San Rafael La Independencia
mupio_ocu,Municipio de ocurrencia,1315,Todos Santos Cuchumatán
mupio_ocu,Municipio de ocurrencia,1316,San Juan Atitán
mupio_ocu,Municipio de ocurrencia,1317,Santa Eulalia
mupio_ocu,Municipio de ocurrencia,1318,San Mateo Ixtatán
mupio_ocu,Municipio de ocurrencia,1319,Colotenango
